date,code,open,high,low,close,volume
20210222,hDJI,31381.119140625,31653.48046875,31286.5703125,31521.689453125,387210000.0
20210223,hDJI,31501.890625,31653.380859375,31158.759765625,31537.349609375,460410000.0
20210224,hDJI,31499.75,32009.640625,31421.2890625,31961.859375,410150000.0
20210225,hDJI,31955.939453125,31984.76953125,31293.3203125,31402.009765625,454110000.0
20210226,hDJI,31401.2890625,31450.890625,30911.369140625,30932.369140625,532250000.0
20210301,hDJI,31065.900390625,31668.33984375,31065.900390625,31535.509765625,385670000.0
20210302,hDJI,31535.369140625,31623.26953125,31377.16015625,31391.51953125,337270000.0
20210303,hDJI,31352.9609375,31563.310546875,31260.140625,31270.08984375,409660000.0
20210304,hDJI,31289.009765625,31461.970703125,30547.529296875,30924.140625,537850000.0
20210305,hDJI,31029.1796875,31580.330078125,30766.810546875,31496.30078125,501810000.0
20210308,hDJI,31512.150390625,32148.0390625,31512.150390625,31802.439453125,496980000.0
20210309,hDJI,31892.349609375,32150.3203125,31822.640625,31832.740234375,458690000.0
20210310,hDJI,31906.9609375,32389.5,31906.9609375,32297.01953125,409110000.0
20210311,hDJI,32354.5,32661.58984375,32345.69921875,32485.58984375,400020000.0
20210312,hDJI,32462.400390625,32793.3203125,32462.400390625,32778.640625,346400000.0
20210315,hDJI,32798.83984375,32973.3984375,32629.75,32953.4609375,360080000.0
20210316,hDJI,32966.75,32966.75,32778.23046875,32825.94921875,386370000.0
20210317,hDJI,32825.51953125,33047.578125,32782.1796875,33015.37109375,391200000.0
20210318,hDJI,32928.16015625,33227.78125,32831.25,32862.30078125,418480000.0
20210319,hDJI,32858.359375,32858.359375,32505.0703125,32627.970703125,811890000.0
20210322,hDJI,32601.8203125,32810.3515625,32512.529296875,32731.19921875,383500000.0
20210323,hDJI,32691.5,32753.76953125,32356.279296875,32423.150390625,385840000.0
20210324,hDJI,32470.880859375,32787.98828125,32418.150390625,32420.060546875,399390000.0
20210325,hDJI,32346.810546875,32672.689453125,32071.41015625,32619.48046875,411990000.0
20210326,hDJI,32681.0703125,33098.828125,32681.0703125,33072.87890625,382170000.0
20210329,hDJI,33087.55078125,33259.0,32905.12890625,33171.37109375,351610000.0
20210330,hDJI,33127.87890625,33170.9296875,32988.921875,33066.9609375,307510000.0
20210331,hDJI,33116.0390625,33173.76953125,32980.5703125,32981.55078125,414140000.0
20210401,hDJI,33054.578125,33167.171875,32985.3515625,33153.2109375,311880000.0
20210405,hDJI,33222.37890625,33617.94921875,33222.37890625,33527.19140625,344270000.0
20210406,hDJI,33500.01953125,33544.7890625,33380.4296875,33430.23828125,297940000.0
20210407,hDJI,33444.98046875,33521.76171875,33347.9609375,33446.26171875,273440000.0
20210408,hDJI,33469.890625,33506.80078125,33342.640625,33503.5703125,304040000.0
20210409,hDJI,33526.19140625,33810.87109375,33526.19140625,33800.6015625,316410000.0
20210412,hDJI,33775.05859375,33786.19140625,33665.5390625,33745.3984375,327370000.0
20210413,hDJI,33721.16015625,33741.640625,33545.83984375,33677.26953125,324480000.0
20210414,hDJI,33668.94921875,33911.25,33668.94921875,33730.890625,315330000.0
20210415,hDJI,33788.53125,34068.73046875,33788.53125,34035.98828125,319680000.0
20210416,hDJI,34058.16015625,34256.75,34058.16015625,34200.671875,343760000.0
20210419,hDJI,34182.37890625,34182.37890625,33980.55859375,34077.62890625,312540000.0
20210420,hDJI,34034.1796875,34034.1796875,33687.01171875,33821.30078125,350960000.0
20210421,hDJI,33808.30078125,34160.33984375,33773.80078125,34137.30859375,290300000.0
20210422,hDJI,34109.87890625,34126.5703125,33717.19140625,33815.8984375,344470000.0
20210423,hDJI,33804.51953125,34157.5703125,33713.2890625,34043.48828125,346380000.0
20210426,hDJI,34044.23046875,34148.94140625,33941.37109375,33981.5703125,279300000.0
20210427,hDJI,33932.12890625,34043.98046875,33870.4609375,33984.9296875,289030000.0
20210428,hDJI,33860.4609375,33946.6015625,33805.55859375,33820.37890625,335820000.0
20210429,hDJI,33855.640625,34087.2109375,33744.28125,34060.359375,408450000.0
20210430,hDJI,33988.75,33988.75,33784.9609375,33874.8515625,374890000.0
20210503,hDJI,33904.890625,34221.05859375,33904.890625,34113.23046875,289770000.0
20210504,hDJI,34080.19921875,34147.78125,33765.6796875,34133.03125,407860000.0
20210505,hDJI,34163.98828125,34331.19921875,34039.66015625,34230.33984375,253180000.0
20210506,hDJI,34245.109375,34561.2890625,34185.05859375,34548.53125,315430000.0
20210507,hDJI,34578.26953125,34811.390625,34464.30859375,34777.76171875,303400000.0
20210510,hDJI,34785.26953125,35091.55859375,34741.5703125,34742.8203125,361620000.0
20210511,hDJI,34572.73828125,34572.73828125,34075.30859375,34269.16015625,413180000.0
20210512,hDJI,34206.3984375,34207.87109375,33555.21875,33587.66015625,381350000.0
20210513,hDJI,33624.73828125,34181.76953125,33623.48828125,34021.44921875,350820000.0
20210514,hDJI,34050.859375,34454.05078125,34050.859375,34382.12890625,303230000.0
20210517,hDJI,34375.2890625,34383.83984375,34176.6484375,34327.7890625,291910000.0
20210518,hDJI,34351.1796875,34408.98828125,34044.1015625,34060.66015625,289590000.0
20210519,hDJI,33945.80859375,33945.80859375,33473.80078125,33896.0390625,348480000.0
20210520,hDJI,33906.30078125,34233.3984375,33872.41015625,34084.1484375,320150000.0
20210521,hDJI,34121.91015625,34415.48046875,34121.91015625,34207.83984375,306360000.0
20210524,hDJI,34253.87109375,34472.51171875,34253.87109375,34393.98046875,251010000.0
20210525,hDJI,34428.66015625,34511.3515625,34266.03125,34312.4609375,285760000.0
20210526,hDJI,34336.33984375,34409.58984375,34271.44140625,34323.05078125,258780000.0
20210527,hDJI,34432.46875,34608.8203125,34389.23828125,34464.640625,520630000.0
20210528,hDJI,34558.5,34631.109375,34520.08984375,34529.44921875,290850000.0
20210601,hDJI,34584.19140625,34849.3203125,34542.87109375,34575.30859375,287700000.0
20210602,hDJI,34614.62109375,34706.6484375,34545.9609375,34600.37890625,263810000.0
20210603,hDJI,34550.30859375,34667.41015625,34334.41015625,34577.0390625,297380000.0
20210604,hDJI,34618.69140625,34772.12109375,34618.69140625,34756.390625,270050000.0
20210607,hDJI,34766.19921875,34820.91015625,34574.51171875,34630.23828125,259120000.0
20210608,hDJI,34645.83984375,34665.37890625,34452.94140625,34599.8203125,289440000.0
20210609,hDJI,34626.16015625,34654.671875,34439.37109375,34447.140625,245100000.0
20210610,hDJI,34502.51171875,34737.7890625,34447.25,34466.23828125,309310000.0
20210611,hDJI,34499.80859375,34618.08984375,34328.6484375,34479.6015625,260840000.0
20210614,hDJI,34472.51953125,34472.51953125,34211.5390625,34393.75,295530000.0
